prompt0	आप प्राप्त कर्ता का खाता संख्या / यु . पि . आई आई . डी . बताईये | 
prompt1	अब आपकी खाते से लेन - देन हो रही है | कुछ ही क्षण मे प्राप्त कर्ता के खाते मे जमा हो जायेगा | 
prompt2	अब आपकी खाते से लेन - देन हो रही है | कुछ ही क्षण मे आपकी दोस्त की खाते मे जमा हो जायेगा | 
prompt3	इस सेवा का उपयोग करने के लिए शुक्रिया | आप किस तरह का payment करना चाहते है ? 
prompt4	ज़रूर . आप यहाँ से पेमेंट कर सकते है . 
prompt5	शुक्रिया | अब उनका IFSC सांकेतिक संख्या बताईये | 
prompt6	शुक्रिया | आप प्राप्त कर्ता को कितना पैसे भेजना चाहते है ? 
prompt7	लेन - देन का विवरण कुछ ऐसा है - 
खाता संख्या : 123456789
IFSC संख्या : 4567765688765abcd999
भुगतान - Rs . 10500
क्या ये सही है ? 
prompt8	आपके मोबाइल पे सन्देश आ चुका होगा | कृपया जाँच लीजिए | 
prompt9	आपके दोस्त का खाता संख्या / यु . पि . आई आईडी बताईये | 
prompt10	 परेशानी के लिए खेद हैं | सिर्फ ईमेल आई . डी . से नहीं हो सकता है | 
prompt11	जरूर | 
prompt12	शुक्रिया | अब उसका IFSC code बताईये | 
prompt13	शुक्रिया | अब उसका IFSC सांकेतिक संख्या बताईये | 
prompt14	शुक्रिया | अपने दोस्त को कितना पैसे भेजना चाहते है ? 
prompt15	लेन - देन का विवरण कुछ ऐसा है -
खाता संख्या : 123456789
IFSC संख्या : 4567765688765abcd999
भुगतान - Rs . 2000
क्या ये सही है ? 
prompt16	लेन - देन का विवरण कुछ ऐसा है -
खाता संख्या : 123456789
IFSC संख्या : 4567765688765abcd999
भुगतान - Rs . 10500
क्या ये सही है ? 
prompt17	आपके मोबाइल पे सन्देश आ चुका होगा | कृपया जाँच लीजिए | 
prompt18	आपके दोस्त का account number / UPI id बताईये | 
prompt19	 परेशानी के लिए खेद हैं | सिर्फ email id से नहीं हो सकता है | 
prompt20	जरूर | 
prompt21	शुक्रिया | अपने दोस्त को कितना पैसे भेजना चाहते है ? 
